Absolute Magnitude,Close Approach Date,Relative Velocity km per hr,Miss Dist.(kilometers),Orbit Determination Date,Orbit Uncertainity,Minimum Orbit Intersection,Epoch Osculation,Eccentricity,Perihelion Distance,Aphelion Dist,Perihelion Time,Mean Anomaly,Hazardous,Est Dia in M(avg)
21.6,0,22017.003799315,62753692.0,534,5,0.0252819,2458000.5,0.4255490832802685,0.808258932678493,2.005763672747459,2458161.6417204863,264.8375332988031,1,205.84608752135
21.3,0,65210.3460948409,57298148.0,432,3,0.186935,2458000.5,0.3516743045868617,0.7181996160227876,1.497352292852652,2457794.969431285,173.7411119891742,0,236.3429308586
20.3,1,27326.5601819679,7622911.5,1910,0,0.0430579,2458000.5,0.3482482617619956,0.950790956866954,1.966856672082667,2458120.4675489054,292.8936537794408,1,374.57830220405003
27.4,2,40225.948191338,42683616.0,1761,6,0.0055118,2458000.5,0.2165783078378784,0.9839015669723666,1.527904212254787,2457902.3374338527,68.74100661777578,0,14.24106985895
21.6,2,35426.9917941048,61010824.0,1190,1,0.034798,2458000.5,0.2104479432284866,0.9676866361064762,1.483542837130177,2457814.455148689,135.1421326756292,1,205.84608752135
19.6,2,38911.83825064,58759768.0,2352,1,0.272213,2458000.5,0.5634410734978924,0.5777997876790363,2.069264572262516,2458009.402634515,354.2373683433312,0,517.0619942241
19.6,2,38911.829716462,58759532.0,2399,1,0.272213,2458000.5,0.5634411100746358,0.5777997314074783,2.069264592520325,2458009.4025913575,354.237396160877,0,517.0619942241
19.2,3,87918.7823817199,19324928.0,2134,0,0.0987582,2458000.5,0.4497627959965093,0.6809045288785588,1.794044543719008,2458242.439098669,186.7769322776995,0,621.64524614805
17.8,3,62545.6218132504,53598364.0,2299,0,0.109354,2458000.5,0.2381790104348694,0.8727046815850249,1.418397016947041,2458221.636404156,182.2364315309588,0,1184.52059704365
21.5,3,46438.5949989635,22709816.0,2036,0,0.0169065,2458000.5,0.551388806833007,0.3930396461624395,1.359211087430526,2457900.7702821824,119.8613823033982,1,215.54731474814997
22.4,3,80716.918732587,30075154.0,1308,6,0.000317965,2458000.5,0.4758194774081156,0.4266183269852852,1.201135122821705,2457996.3603927726,5.556806412851552,0,142.41069858975
25.8,3,62188.6012700346,64479012.0,1294,4,0.00186378,2458000.5,0.2048406780030454,0.9866251925196996,1.494953442669786,2457935.0333707174,46.68495944704712,0,29.75381215555
25.0,3,43626.6358322947,53825524.0,888,6,0.0187898,2458000.5,0.326860711970322,0.626176880439848,1.234290608458944,2457939.7129855743,66.77697673554127,0,43.00734342095
19.1,4,38987.734642195,64425220.0,2115,0,0.214004,2458000.5,0.1493579627014401,1.125334586264921,1.520512989852338,2457976.984646116,15.23187454710148,0,650.9424840017
18.8,4,142579.1804929074,45023444.0,1298,0,0.102643,2458000.5,0.8610933305709985,0.2754156130918373,3.690061555484416,2457894.2264480977,37.51725738061909,0,747.38197039275
25.2,4,90760.6389007836,74196656.0,125,6,0.0119773,2458000.5,0.4416943551013883,0.4676128055622026,1.20750121069361,2457925.3675273424,96.60735473164922,0,39.22316337185
20.0,5,11120.4141428446,35727636.0,2314,0,0.240288,2458000.5,0.3775493600967308,1.218854371855342,2.697454147145476,2457771.5533833597,82.35082442826075,0,430.07343420970005
21.0,5,72069.2709657714,71520800.0,1351,1,0.0984179,2458000.5,0.4527922930841961,0.4967905021181501,1.318938683854696,2457968.7570858626,36.16756328615697,0,271.35799198045004
22.3,5,30694.755039371,69003400.0,679,3,0.0259126,2458000.5,0.2597323195329087,0.8635369922219897,1.46950283919985,2457770.912607256,179.6031185576674,0,149.1223080412
22.7,5,28510.2865608238,16047525.0,541,4,0.0525422,2458000.5,0.1514158524079464,0.7753770616300362,1.052083571072684,2458138.755972242,203.9869515937405,0,124.03453329185
26.1,5,16759.7229360863,38220508.0,454,5,0.018587,2458000.5,0.1714328826365063,0.7781396599409749,1.100138257765971,2458042.506078219,314.5094251287649,0,25.9144870499
20.6,5,7791.7422557238,63257484.0,1297,2,0.183818,2458000.5,0.4074703521368719,1.172302907970777,2.784639709832457,2457957.8350370787,15.11056876015708,0,326.2440628073
21.7,6,102308.2353404514,7261686.5,1844,1,0.0128745,2453548.5,0.8684189074961081,0.1193090164503963,1.694158468581579,2453597.57543235,303.9792986106828,1,196.58148744435
23.9,6,37985.471179349,2952796.75,2468,3,0.0109543,2458000.5,0.3988200079942557,0.8163539004249429,1.899484654684997,2457913.2981201303,54.31490079465933,0,71.3744240651
23.9,6,63233.6675491447,64932800.0,1506,1,0.0453154,2458000.5,0.3973810059711997,0.5666582119956471,1.313993468786142,2458097.4673558557,255.1877435084699,0,71.3744240651
21.3,6,69203.3956488727,15266183.0,775,4,0.0140066,2458000.5,0.2494248827236086,0.8886760131226273,1.479310861655108,2457816.1554508256,141.0296511750646,1,236.3429308586
26.989,6,25790.9330143395,31654442.0,2532,7,0.0071428,2458000.5,0.3179061258474021,0.705535845388161,1.363199477193899,2457901.6235421547,92.63701924370052,0,17.20848417775
